Totales Territoriales;Periodo;Total
Total Nacional;2020;10,40
Total Nacional;2019;8,83
Total Nacional;2018;9,10
Total Nacional;2017;9,07
Total Nacional;2016;8,79
Total Nacional;2015;9,06
Total Nacional;2014;8,48
Total Nacional;2013;8,34
Total Nacional;2012;8,58
Total Nacional;2011;8,26
Total Nacional;2010;8,17
Total Nacional;2009;8,26
Total Nacional;2008;8,36
Total Nacional;2007;8,47
Total Nacional;2006;8,33
Total Nacional;2005;8,82
Total Nacional;2004;8,62
Total Nacional;2003;9,06
Total Nacional;2002;8,84
Total Nacional;2001;8,77
Total Nacional;2000;8,82
Total Nacional;1999;9,13
Total Nacional;1998;8,90
Total Nacional;1997;8,67
Total Nacional;1996;8,75
Total Nacional;1995;8,66
Total Nacional;1994;8,50
Total Nacional;1993;8,59
Total Nacional;1992;8,43
Total Nacional;1991;8,64
Total Nacional;1990;8,54
Total Nacional;1989;8,33
Total Nacional;1988;8,19
Total Nacional;1987;7,96
Total Nacional;1986;8,01
Total Nacional;1985;8,11
Total Nacional;1984;7,78
Total Nacional;1983;7,90
Total Nacional;1982;7,52
Total Nacional;1981;7,75
Total Nacional;1980;7,69
Total Nacional;1979;7,81
Total Nacional;1978;8,02
Total Nacional;1977;8,04
Total Nacional;1976;8,25
Total Nacional;1975;8,32
